Baseline Loss	Loss	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.5948853	0.0076443763	11.11948299407959	0	-7.0670776	3.241524	3.5456066	-17.401716	11.780918727915195	3.104245142931102	10002	10002
1.5350535	-0.07525043	17.009865045547485	1	1.3629801	2.4529626	10.063448	-5.7302847	11.470183486238533	2.7451426599019464	10002	20004
1.625278	-0.00407996	22.529410123825073	2	15.937618	10.280696	70.791115	0.13378268	29.859701492537315	11.981877605603781	10003	30007
2.11915	-0.0035943026	28.027467966079712	3	121.04244	87.57101	408.92047	-3.3793907	131.60526315789474	64.61099770883241	10002	40009
1.4074705	0.0037858323	33.722715854644775	4	276.57788	140.75209	748.05493	38.83993	288.34285714285716	170.87605246529557	10092	50101
1.0534656	-0.018630976	39.44454002380371	5	252.6239	137.09961	784.9442	18.021832	213.91666666666666	131.04560804883502	10268	60369
1.0420556	-0.0066468823	45.20291519165039	6	263.9655	128.88287	653.24255	34.378784	210.6326530612245	108.53151406859894	10321	70690
1.0974485	0.01560106	50.79236578941345	7	262.71344	73.70461	522.96844	113.564896	193.03846153846155	114.16586475193107	10038	80728
1.067104	-0.014466722	56.44575381278992	8	241.55942	80.92358	480.97696	23.250645	177.6140350877193	104.88920710887558	10124	90852
0.9881601	0.010074441	62.007235050201416	9	244.18747	75.65674	509.63184	45.420288	155.47692307692307	61.965525823094126	10106	100958
0.928749	-0.019056756	67.53751397132874	10	266.42117	101.19776	726.7679	49.566757	181.85454545454544	100.24903865906204	10002	110960
0.7475473	-0.0049055	73.19557499885559	11	271.57486	83.55295	522.5069	49.32657	184.0	72.15211204619912	10120	121080
0.7287568	-0.01873945	79.36594486236572	12	294.90994	136.10161	919.9746	33.6133	216.9	155.08104332896397	10845	131925
0.6567465	0.008910936	85.02248001098633	13	268.09543	77.1416	467.12662	53.706005	185.87037037037038	68.5997641439354	10037	141962
0.53364605	0.0038152984	90.92524194717407	14	262.48	77.99542	424.42834	30.985378	180.78947368421052	54.84355320174986	10305	152267
0.46693695	-0.029006837	96.60216188430786	15	256.8758	94.80043	406.5205	36.80378	185.27777777777777	67.42716692480985	10005	162272
0.38137072	-0.024693303	102.48417687416077	16	229.31583	99.041275	442.20322	40.406273	198.2941176470588	80.97888713409414	10113	172385
0.4676496	-0.01681427	108.35989689826965	17	262.9305	116.93474	661.2859	27.94418	191.03773584905662	81.63817139571344	10125	182510
0.30951044	0.0053661806	114.30145478248596	18	219.48067	106.46484	481.98755	32.7868	198.92156862745097	61.050876609548446	10145	192655
0.24070242	0.0017040872	120.18353319168091	19	230.10298	116.02449	558.019	32.60794	198.7450980392157	58.639758692376894	10136	202791
0.20571633	0.0063905	126.09837913513184	20	206.85162	115.45615	422.92337	8.124399	204.12	57.43575193205013	10206	212997
0.28379253	-3.688199e-05	131.9959261417389	21	250.36386	98.823425	408.69647	52.516743	213.7872340425532	61.9474506783045	10048	223045
0.22800343	-0.00020114671	137.8112609386444	22	220.4776	122.30271	437.90695	18.336813	204.6122448979592	52.55932171406007	10026	233071
0.3764252	0.012084959	143.6845920085907	23	279.93677	158.52058	748.9581	14.188976	235.1627906976744	114.09745533158151	10112	243183
0.31601956	0.010467422	149.4466199874878	24	241.03607	131.58786	514.7732	21.92627	210.08333333333334	58.871623517239236	10084	253267
0.48772162	-0.021868391	155.30353593826294	25	304.1415	191.18774	895.2194	8.401892	264.92105263157896	187.48914095978822	10067	263334
0.55516976	-0.016037067	161.25589394569397	26	323.48035	230.72556	979.37146	-3.287736	295.85714285714283	233.89572070319136	10355	273689
0.6814432	-0.001468255	167.1653299331665	27	318.9067	261.97095	921.5005	22.2924	351.7586206896552	276.35355355705985	10201	283890
0.8627342	0.013009494	173.48523497581482	28	394.69583	353.0647	966.78394	1.4553776	463.4347826086956	367.28117721712374	10659	294549
0.8316329	-0.01783401	179.84796810150146	29	527.68823	324.0333	924.6963	47.073093	627.2941176470588	364.8854396698298	10664	305213
0.6807722	0.016181689	185.86187505722046	30	458.65378	299.05466	907.069	9.333777	535.7368421052631	361.7263929816311	10179	315392
0.5297884	0.01788119	192.0824887752533	31	318.44028	203.51657	874.7145	-8.396707	347.6774193548387	272.8258793770422	10778	326170
0.819612	-0.019651446	198.24243998527527	32	546.31854	319.97223	993.13306	5.352089	608.2352941176471	391.3152075954904	10340	336510
0.8631403	-0.0067513166	204.26250982284546	33	449.36023	301.05057	964.3298	53.33302	438.9130434782609	377.60698605405094	10095	346605
0.7674912	-0.018176427	210.39349675178528	34	394.55853	270.9295	925.51013	33.028893	376.7142857142857	323.7570580745093	10548	357153
0.7125448	-0.031376615	216.30999779701233	35	379.9302	219.56789	938.5654	96.8854	342.56666666666666	289.98685985556125	10277	367430
0.5830533	0.027565612	222.11733412742615	36	330.42606	189.65259	866.39087	31.619873	291.1714285714286	224.5362822370058	10191	377621
0.51055974	-0.035085604	228.01852011680603	37	300.6937	153.36115	827.96204	50.996643	239.42857142857142	182.32416746228768	10056	387677
0.62471426	-0.013522273	233.62172079086304	38	294.82947	107.05141	702.424	58.406086	208.54166666666666	109.39110992468974	10010	397687
0.5309205	-0.008756774	239.37893676757812	39	331.76468	147.9515	949.07104	49.17556	242.45238095238096	136.54899737752476	10183	407870
0.6090299	-0.020444855	244.98267602920532	40	299.11453	119.53653	761.92676	41.10939	205.18367346938774	100.53401769071121	10054	417924
0.55556726	-0.009913935	250.59165906906128	41	300.20926	124.19396	759.2146	22.470577	204.51020408163265	91.2581273873405	10021	427945
0.4625013	-0.015899703	256.2657117843628	42	301.8793	127.87879	628.59534	24.616875	219.06521739130434	78.79042155808386	10077	438022
0.4697289	-0.0052523967	261.96739888191223	43	307.83975	144.04497	731.1292	25.903143	240.21428571428572	103.49454453399619	10089	448111
0.4692453	0.00073550106	267.6627588272095	44	293.4319	153.00082	924.4386	10.658817	220.08695652173913	107.57238737482706	10124	458235
0.48165974	-0.011119299	273.30548787117004	45	283.4125	150.78545	796.0511	19.149029	217.6086956521739	111.0476744976776	10010	468245
0.4367361	0.029699191	279.09493684768677	46	307.6367	160.84055	1034.7329	38.848732	236.11627906976744	135.28938996579691	10153	478398
0.55951256	0.021147523	285.18154406547546	47	339.3266	146.46179	947.7389	47.068398	229.06382978723406	147.33063182751383	10766	489164
0.3808339	-0.034410797	291.0254831314087	48	291.7037	134.22942	752.9825	69.69361	228.75555555555556	107.65483021739342	10294	499458
0.3622504	0.026678646	296.8303949832916	49	297.7315	144.23492	666.2229	5.696991	216.04166666666666	92.91886208168692	10370	509828
0.34624833	-0.0047643115	302.4814190864563	50	285.33615	121.581245	537.82654	29.32322	218.47826086956522	71.7909825784835	10050	519878
0.31924263	0.014043349	308.2040469646454	51	290.79962	139.94232	638.73584	2.9535913	220.65217391304347	94.09528412877077	10150	530028
0.304914	-0.018792247	313.85463094711304	52	266.40436	108.62121	414.36237	6.263961	194.32692307692307	50.6802651448069	10105	540133
0.3358192	0.03277508	319.5692181587219	53	290.60242	111.085304	458.87827	11.912865	209.41666666666666	65.9386815323314	10052	550185
0.28301597	-0.035805043	325.3522789478302	54	302.85138	108.741135	549.09814	53.557686	229.36363636363637	76.04576699386988	10092	560277
