Baseline Loss	Loss	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.6429886	0.015279745	11.825408935546875	0	-2.6272511	3.67242	5.4480247	-18.959112	10.862106406080347	2.930517757200664	10004	10004
3.1060152	-0.02265137	17.99326992034912	1	7.2146306	6.520515	36.50521	-18.041822	24.127710843373492	9.854389435439625	10013	20017
1.5265474	-0.021347148	23.754876136779785	2	44.06379	48.54829	263.85028	-40.062744	86.54310344827586	46.88658219969343	10039	30056
1.081372	-0.017220601	29.584498167037964	3	153.98221	123.37669	535.07935	-4.964142	193.07692307692307	86.37615548683786	10040	40096
1.197919	-0.027727839	35.46317410469055	4	246.1792	176.89398	841.97296	25.397036	266.1578947368421	175.72863744028888	10114	50210
1.2904762	-0.027348189	41.45710897445679	5	312.30966	150.02098	984.1521	31.506777	248.4878048780488	146.09938514273043	10188	60398
1.2364243	-0.016929671	47.38484716415405	6	301.86673	124.61182	597.54913	32.93103	232.4318181818182	103.44506616980837	10227	70625
1.0886599	0.010451991	53.272459983825684	7	280.01178	143.19807	722.7157	0.38743627	219.82608695652175	123.69111323528358	10112	80737
0.96018094	0.0037358517	59.0616340637207	8	231.21646	87.416374	422.20026	14.79678	200.12	66.64702243911576	10006	90743
0.9003079	-0.0034153182	65.02823328971863	9	261.81375	136.42508	659.48474	1.7632923	204.71428571428572	111.64118909273948	10031	100774
0.92016995	-0.018650636	70.92742705345154	10	276.43945	96.205765	483.41766	42.70015	204.46938775510205	77.83187061415539	10019	110793
0.9178439	0.048637804	76.76779890060425	11	288.79865	124.59315	753.9113	8.417202	212.95744680851064	113.75691841421441	10009	120802
0.89402056	-0.019080192	82.61317801475525	12	279.02673	84.59966	494.63733	28.05578	196.50980392156862	70.54114987333102	10022	130824
0.8629141	-0.007047882	88.59817695617676	13	267.10602	92.358	617.3225	33.80548	177.78947368421052	64.11632434171045	10134	140958
0.84444654	-0.009756881	94.49024105072021	14	279.6665	70.77652	426.89264	47.514187	183.07272727272726	46.902162983832454	10069	151027
0.86384267	-0.011162271	100.32956624031067	15	272.08765	55.512493	386.3335	32.99878	168.53333333333333	35.87685728835358	10112	161139
0.69257474	0.004979377	106.14399814605713	16	274.57697	91.45921	611.33777	26.1818	185.2037037037037	72.44701247057885	10001	171140
0.6775963	-0.032270525	112.02039813995361	17	276.56335	66.81677	457.81854	20.63214	170.98305084745763	36.25357563916328	10088	181228
0.5291312	-0.016069472	117.94983696937561	18	256.15988	66.83827	348.01962	21.166517	160.79365079365078	29.99638006210809	10130	191358
