Loss	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
17.548641	4.221343994140625	0	19.936508	10.33621	76.0	9.0	19.936507936507937	10.336210069418257	5024	5024
20.790258	6.553637981414795	1	24.220097	12.160386	72.0	8.0	24.220095693779903	12.160386624678349	5062	10086
24.733595	8.785237073898315	2	28.6	14.910016	86.0	9.0	28.6	14.910015809132176	5005	15091
25.675	10.979732036590576	3	31.28125	15.086075	96.0	10.0	31.28125	15.086074653053391	5005	20096
31.51052	13.188364028930664	4	39.15625	19.121094	100.0	10.0	39.15625	19.12109335099591	5012	25108
32.674637	15.424628019332886	5	43.25641	18.93992	102.0	10.0	43.256410256410255	18.939920236546204	5061	30169
36.447666	17.659667015075684	6	49.92079	22.1179	130.0	15.0	49.92079207920792	22.11790331151131	5042	35211
37.6869	19.89105796813965	7	51.530613	24.718912	200.0	17.0	51.53061224489796	24.718911244117205	5050	40261
39.50039	22.110146045684814	8	57.516853	24.269606	143.0	24.0	57.51685393258427	24.269605701139373	5119	45380
40.489212	24.360501050949097	9	59.95238	26.01552	200.0	26.0	59.95238095238095	26.01551952654084	5036	50416
37.274906	26.57396101951599	10	58.76744	22.705738	126.0	24.0	58.76744186046512	22.705738655118154	5054	55470
40.104572	29.7219021320343	11	63.93671	26.579874	171.0	27.0	63.936708860759495	26.57987330891119	5051	60521
37.99702	32.47907090187073	12	64.53846	23.393343	131.0	28.0	64.53846153846153	23.393343512846965	5034	65555
39.64228	34.836793184280396	13	68.61644	25.662525	175.0	37.0	68.61643835616438	25.662525386884692	5009	70564
38.047386	37.041648864746094	14	71.28169	19.549276	151.0	36.0	71.28169014084507	19.54927547995862	5061	75625
45.782322	39.24837803840637	15	79.84127	33.246655	184.0	41.0	79.84126984126983	33.246652223972696	5030	80655
46.38673	41.46663498878479	16	86.31035	29.920706	190.0	44.0	86.3103448275862	29.920703763016625	5006	85661
45.70056	43.67449188232422	17	86.5	29.440327	200.0	47.0	86.5	29.44032538238478	5017	90678
42.29318	45.943440198898315	18	86.067795	27.952663	178.0	42.0	86.0677966101695	27.952662410279267	5078	95756
44.536892	48.15869903564453	19	89.08772	28.222351	200.0	43.0	89.08771929824562	28.222350668477983	5078	100834
42.962257	50.42140007019043	20	86.47458	32.02031	176.0	39.0	86.47457627118644	32.020309197314766	5102	105936
45.550957	52.64573383331299	21	91.32143	34.810257	200.0	36.0	91.32142857142857	34.81025461743439	5114	111050
45.47282	55.09426403045654	22	94.84906	36.793865	200.0	39.0	94.84905660377359	36.79386547844427	5027	116077
45.94255	57.35135793685913	23	96.64151	38.276596	200.0	41.0	96.64150943396227	38.27659728356743	5122	121199
38.803944	59.561322927474976	24	95.9434	20.597137	167.0	66.0	95.94339622641509	20.59713764171332	5085	126284
39.616955	61.81422686576843	25	95.50944	25.835197	172.0	55.0	95.50943396226415	25.835198047821645	5062	131346
