Loss	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
9.164728	4.246539115905762	0	19.936508	10.33621	76.0	9.0	19.936507936507937	10.336210069418257	5024	5024
11.542863	6.566910982131958	1	24.880596	13.97744	109.0	8.0	24.880597014925375	13.977439948154657	5001	10025
12.369441	8.829437017440796	2	28.971098	13.779196	75.0	10.0	28.971098265895954	13.77919506766949	5012	15037
12.420469	11.050436973571777	3	29.827381	14.177865	75.0	11.0	29.827380952380953	14.177865471609815	5011	20048
17.935349	13.277832984924316	4	41.841667	23.202368	131.0	10.0	41.84166666666667	23.20236907204856	5021	25069
17.450216	15.52180790901184	5	46.333332	20.103437	118.0	14.0	46.333333333333336	20.103436227375365	5004	30073
18.098345	17.74994683265686	6	50.89899	19.426367	135.0	22.0	50.898989898989896	19.426367039501578	5039	35112
19.806168	19.981527090072632	7	55.01099	23.893303	130.0	18.0	55.010989010989015	23.893304274037682	5006	40118
18.955885	22.22069001197815	8	56.920456	21.656525	139.0	17.0	56.92045454545455	21.65652410145785	5009	45127
21.165161	24.444249153137207	9	63.36709	26.9595	176.0	26.0	63.36708860759494	26.95949949540573	5006	50133
19.215368	26.698636054992676	10	59.666668	24.29106	139.0	21.0	59.666666666666664	24.291059169076092	5012	55145
21.106462	28.940208911895752	11	70.830986	24.806852	191.0	36.0	70.83098591549296	24.80685157256889	5029	60174
19.773767	31.19480609893799	12	67.41333	22.987589	140.0	34.0	67.41333333333333	22.987586988537	5056	65230
20.10854	33.42003679275513	13	71.442856	24.32144	191.0	33.0	71.44285714285714	24.321440109080545	5001	70231
21.049726	35.6591579914093	14	78.765625	25.062885	153.0	37.0	78.765625	25.06288477728322	5041	75272
23.901697	37.895484924316406	15	91.472725	28.557346	194.0	40.0	91.47272727272727	28.557345525644962	5031	80303
24.085375	40.1582989692688	16	91.01786	31.608934	200.0	39.0	91.01785714285714	31.60893356509278	5097	85400
