Loss	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
-0.08146877	39.176353931427	0	-132.6239	35.107197	-49.327003	-227.72166	151.0	0.0	50132	50132
-0.061387293	72.1352219581604	1	-113.441734	40.29037	-24.659801	-242.02335	151.0	0.0	50132	100264
-0.069047615	104.47127199172974	2	-103.42825	37.694546	-6.221163	-240.5779	151.0	0.0	50132	150396
-0.07965847	136.83064699172974	3	-91.90395	33.344135	8.865589	-219.07245	151.0	0.0	50132	200528
-0.08297135	169.91700887680054	4	-86.20491	31.140438	15.976338	-187.0196	151.0	0.0	50132	250660
-0.06925689	202.30824971199036	5	-82.53338	32.02546	22.592167	-219.23035	151.0	0.0	50132	300792
-0.057572804	234.70562481880188	6	-82.34887	32.481403	12.103124	-226.9617	151.0	0.0	50132	350924
-0.07333498	267.02995896339417	7	-75.11591	27.770432	21.58245	-165.01253	151.0	0.0	50132	401056
-0.07104577	299.54078102111816	8	-70.235085	27.833118	14.224613	-179.95135	151.0	0.0	50132	451188
-0.061051354	332.0448188781738	9	-69.14711	31.36366	10.686571	-183.53583	151.0	0.0	50132	501320
-0.061239537	364.43103194236755	10	-61.21661	29.990702	0.5557194	-210.22134	151.0	0.0	50132	551452
-0.07087071	396.9886169433594	11	-57.694153	29.565096	32.745296	-154.67317	151.0	0.0	50132	601584
-0.057050657	429.5331447124481	12	-54.756638	28.876871	35.40052	-173.63318	151.0	0.0	50132	651716
-0.054371305	462.1055328845978	13	-48.727165	27.52157	23.49269	-152.41162	151.0	0.0	50132	701848
-0.051856853	494.5535910129547	14	-39.67566	29.104116	50.821342	-125.43196	151.0	0.0	50132	751980
-0.063328095	526.9566988945007	15	-35.37823	28.605179	69.767334	-134.30676	151.0	0.0	50132	802112
-0.0520166	559.3554220199585	16	-32.265915	25.31956	43.071075	-110.837944	151.0	0.0	50132	852244
-0.06271815	591.690661907196	17	-30.189621	26.235336	67.84526	-103.458374	151.0	0.0	50132	902376
-0.062142428	624.1263139247894	18	-31.431267	30.444838	58.51546	-154.75502	151.0	0.0	50132	952508
-0.045967534	656.5214078426361	19	-25.920946	26.394114	44.283566	-121.21829	151.0	0.0	50132	1002640
-0.05071749	688.9629397392273	20	-20.651152	26.164515	49.178654	-110.52537	151.0	0.0	50132	1052772
-0.050809402	721.3964967727661	21	-17.226135	27.839617	63.72337	-115.31842	151.0	0.0	50132	1102904
-0.04773784	753.7422940731049	22	-9.247335	32.11393	77.59824	-110.80111	151.0	0.0	50132	1153036
-0.057238188	786.1038048267365	23	-8.495952	34.315327	139.82774	-158.9292	151.0	0.0	50132	1203168
-0.040172346	818.318638086319	24	-8.974373	36.049637	78.97	-205.34851	151.0	0.0	50132	1253300
-0.062134862	850.7424778938293	25	-8.857799	35.56076	66.86159	-119.901855	151.0	0.0	50132	1303432
-0.03625621	883.1753489971161	26	-8.613278	32.78178	73.12976	-103.76482	151.0	0.0	50132	1353564
-0.03984274	915.7374918460846	27	-7.3819404	30.721863	85.30388	-89.68535	151.0	0.0	50132	1403696
-0.038717017	948.284708738327	28	-5.4799895	29.655336	66.5251	-83.15346	151.0	0.0	50132	1453828
-0.041652128	980.8420050144196	29	-0.9690169	30.77814	72.252426	-116.953354	151.0	0.0	50132	1503960
-0.050758094	1013.2473437786102	30	1.7436192	28.454165	70.85213	-103.77321	151.0	0.0	50132	1554092
-0.0318853	1045.7053627967834	31	6.473615	32.259865	73.34541	-76.85431	151.0	0.0	50132	1604224
-0.043391023	1078.1884920597076	32	11.158192	36.52948	98.65773	-99.02238	151.0	0.0	50132	1654356
-0.01984064	1110.5580537319183	33	20.024366	35.817436	113.38307	-147.00269	151.0	0.0	50132	1704488
-0.008891346	1142.971988916397	34	25.024858	38.11909	111.36013	-91.37455	151.0	0.0	50132	1754620
