,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-176.40705114226458,31.600165560562647,-218.84662931419192,-102.50138853423982,,
1,0,-153.94294152599755,45.39139687506632,-236.3284896939457,-65.3135425288259,20.48988914489746,0.18495678901672363
2,1,-164.13465778802404,22.672605943223854,-192.5008581852963,-125.50187727138263,0.2309045046567917,0.021109603345394135
3,2,-173.2230878094934,40.90534807378659,-261.60806266170965,-112.43784740801841,0.026714887470006943,0.007923235185444355
4,3,-242.03098333454417,26.57249268303702,-290.3090990152203,-207.08215067146313,0.009129742160439491,0.00732237845659256
5,4,-283.95497564090476,22.74723714360616,-330.2748030030614,-248.1897284072894,0.006730307824909687,0.0042504798620939255
6,5,-225.513635333798,44.97692636811568,-320.817623158875,-166.3420156762058,0.004309298470616341,0.004371955059468746
7,6,-201.1419132345357,36.04896254335388,-256.19407359787175,-150.57922970262055,0.0054115657694637775,0.0047574350610375404
8,7,-251.6597772476367,46.843101494936825,-334.06040212099276,-154.82333993579124,0.0038439675699919462,0.0021269130520522594
9,8,-195.4692594923742,42.99684679550958,-267.39122226191967,-132.98882399704513,0.003837855998426676,0.0038341397885233164
10,9,-204.96355543197987,65.60075337980983,-323.9273423807938,-64.8278234866531,0.004253807477653027,0.003572447458282113
11,10,-246.1205029183127,38.19058508605448,-294.0340550142461,-157.0268128727485,0.004110474605113268,0.0036504785530269146
