,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-179.06842060146002,32.08546254378158,-242.57781989072328,-139.3158218958185,,
1,0,-158.6417159744585,34.95667906158267,-257.0457138256719,-128.48474729761784,12.590009689331055,0.112015001475811
2,1,-167.68372893358952,25.22867541982431,-217.44848402357172,-127.4101338579951,0.12424367666244507,0.015112755820155144
3,2,-143.75291346922552,16.435700688423193,-165.84707817465963,-111.75693669247565,0.016583437100052834,0.005408911965787411
4,3,-149.8111554482561,36.55333511728909,-213.64226786843,-84.62474597520304,0.0066536650992929935,0.0034090138506144285
5,4,-138.28844716379677,22.91430893553915,-173.58805886191536,-103.6165610410023,0.004964868072420359,0.003665289841592312
6,5,-168.9859737427603,28.408090099301912,-214.3650247874115,-122.89323639195861,0.003947836812585592,0.0029605356976389885
7,6,-180.6597358506317,28.08185378629293,-220.66743150250005,-141.01391463022662,0.0030345062259584665,0.0026448615826666355
8,7,-149.26367836848968,29.948359091179416,-189.0345366241985,-106.89716683416196,0.0025084028020501137,0.0025640358217060566
9,8,-179.31222496110908,47.869637120037225,-287.19470483499697,-114.05939756134744,0.002317054895684123,0.0023491906467825174
10,9,-162.0989920560006,35.091720160257374,-222.58102395915864,-120.89293481295913,0.002620153361931443,0.0027587590739130974
11,10,-149.79373294598935,29.485877023783427,-191.71345808159185,-100.1302811436621,0.002319990424439311,0.0020116614177823067
