,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-141.07933698731804,30.35524950435798,-198.22271800298432,-93.98924552335075,,
1,0,-119.54674440709906,25.676482585708943,-157.04624337118906,-85.46788258656613,15.532740592956543,0.12910112738609314
2,1,-51.28969958278242,11.55974040012472,-68.60123300473154,-31.48836711008945,0.17454026639461517,0.02011818252503872
3,2,-76.58671899267033,15.024385877768683,-99.15865349604574,-42.37414638131672,0.029035329818725586,0.005818408448249102
4,3,4.360713022180083,15.480170108853576,-13.391921294087343,31.453366616179018,0.005788723006844521,0.0039276620373129845
5,4,12.677704271324355,8.431166875894721,0.4415093902045033,29.52828612585192,0.003878257004544139,0.002603002358227968
6,5,11.477770658377015,29.045518485957277,-55.69287542091652,57.81585963532376,0.0025287806056439877,0.0018737053032964468
7,6,172.27510637560425,17.306584297170968,146.39413386676904,199.03104036247277,0.003634018125012517,0.002486818702891469
8,7,188.1472447320362,49.13594109879698,111.21505200480709,274.43687798020426,0.0022382386960089207,0.001332306070253253
9,8,271.0848889112481,21.790572338317414,238.82947918849456,298.2480169653116,0.002062705811113119,0.0019369198707863688
10,9,257.1975806923747,23.661657768246123,222.49767139242851,290.95997344504576,0.0016836896538734436,0.0017754929140210152
11,10,311.14733030978493,34.98860750736595,226.74666343810452,352.61646453370867,0.0018952281679958105,0.0013464533258229494
