,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-139.54787662765023,37.10060823695216,-205.06870340538376,-66.50480195137187,,
1,0,-153.52287576294506,29.191916970451906,-220.16173451031221,-116.2326635269349,19.77544593811035,1.0444269180297852
2,1,-159.84703650333273,30.968470778472508,-210.36755773170603,-104.9229169841894,1.043784499168396,1.0189878940582275
3,2,-139.86783777494344,23.05212197379284,-171.9846721978622,-107.93824154218578,1.0178992748260498,0.9711206555366516
4,3,-145.62059115816572,30.903473879491546,-204.46335644756,-98.79641163481624,1.0023621320724487,0.9569991827011108
5,4,-168.2845105029241,34.51332185688672,-240.59075469951694,-123.72330394365139,0.9636015892028809,0.9747310876846313
6,5,-149.66845527717317,45.60733564486276,-223.02190878800337,-78.17662183162825,0.9791339635848999,0.9831789135932922
7,6,-162.29341173413113,31.308035211047745,-245.3598474467813,-131.01779051850187,1.048608422279358,1.0416975021362305
8,7,-158.50995633851127,39.27928129446612,-216.20931808841817,-105.38401917847021,1.031358003616333,0.9923779368400574
9,8,-166.74307020861005,33.0300412934176,-234.26167335676985,-122.87390542010158,0.9840556979179382,1.0089728832244873
10,9,-155.90968075936505,40.72527532727569,-221.95184867650374,-109.54726590187624,1.016167163848877,0.9845428466796875
11,10,-128.4990682288567,33.21804935347432,-200.61704122167447,-86.82870432949164,1.0106821060180664,0.9808207750320435
