Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	14.570873260498047	1000	2000	-58.44572308448541	-728.5770437491186	2	2000
1	28.114639043807983	1000	3000	-58.44572308448541	-3003.9534764006276	3	3000
2	41.467623233795166	1000	4000	-58.44572308448541	-987.9726298466893	5	4000
3	55.03206825256348	1000	5000	-58.44572308448541	-246.8622255302387	9	5000
4	68.5810661315918	1000	6000	-27.85723431554171	-33.8995051878546	16	6000
5	82.29691433906555	1000	7000	-13.327310240786137	-79.82278629319623	46	7000
6	95.81555032730103	1000	8000	-13.327310240786137	-53.80292804076246	71	8000
7	109.29954028129578	1000	9000	-13.327310240786137	-113.0815186352322	85	9000
8	122.78167510032654	1000	10000	-13.327310240786137	-84.7567597591479	101	10000
9	136.29029417037964	1000	11000	-13.327310240786137	-48.580076403059095	111	11000
10	149.76538014411926	1000	12000	-11.05382753855425	-145.1245864478811	122	12000
11	163.14719009399414	1000	13000	-11.05382753855425	-68.10658507216311	131	13000
12	176.62393712997437	1000	14000	-11.05382753855425	-41.68604000359299	137	14000
13	190.0495810508728	1000	15000	-11.05382753855425	-47.52034438084696	164	15000
14	203.42103338241577	1000	16000	-11.05382753855425	-120.10089329173533	181	16000
15	216.7870330810547	1000	17000	-11.05382753855425	-37.911705025775404	202	17000
16	230.1575710773468	1000	18000	-11.05382753855425	-24.09524490864247	213	18000
17	243.5282301902771	1000	19000	-11.05382753855425	-99.5400535197779	250	19000
18	256.9154722690582	1000	20000	-11.05382753855425	-2541.7148511295336	251	20000
19	270.3035981655121	1000	21000	-11.05382753855425	-34.86988186399075	254	21000
20	283.6919221878052	1000	22000	-11.05382753855425	-42.1141792418711	257	22000
21	297.1678080558777	1000	23000	-9.40610293086873	-11.12424561004633	274	23000
22	310.56513714790344	1000	24000	-9.40610293086873	-2929.6053724533995	275	24000
23	323.9436490535736	1000	25000	-9.40610293086873	-69.47103695714034	279	25000
24	337.3267900943756	1000	26000	-9.40610293086873	-2996.48444627879	280	26000
25	350.7000482082367	1000	27000	-9.40610293086873	-3006.2916391271892	281	27000
26	364.0881190299988	1000	28000	-9.40610293086873	-3001.6358768435525	282	28000
27	377.5396831035614	1000	29000	-9.40610293086873	-3003.101937102547	283	29000
28	390.92079615592957	1000	30000	-9.40610293086873	-3002.476656769524	284	30000
29	404.28614711761475	1000	31000	-9.40610293086873	-3004.7766757256763	285	31000
30	417.66624999046326	1000	32000	-9.40610293086873	-3002.4816967709685	286	32000
31	431.03526616096497	1000	33000	-9.40610293086873	-3005.309026479473	287	33000
32	444.4478290081024	1000	34000	-9.40610293086873	-3002.9973159030587	288	34000
33	457.84483313560486	1000	35000	-9.40610293086873	-3003.136443307618	289	35000
34	471.2304792404175	1000	36000	-9.40610293086873	-3003.501969070931	290	36000
35	484.62097215652466	1000	37000	-9.40610293086873	-3006.391978447807	291	37000
36	498.02186918258667	1000	38000	-9.40610293086873	-3004.3682225785315	292	38000
37	511.3869421482086	1000	39000	-9.40610293086873	-3004.480833508	293	39000
38	524.7556819915771	1000	40000	-9.40610293086873	-3003.2875972795355	294	40000
39	538.132895231247	1000	41000	-9.40610293086873	-3006.0102697603934	295	41000
40	551.5058891773224	1000	42000	-9.40610293086873	-3003.363932777681	296	42000
41	564.8897981643677	1000	43000	-9.40610293086873	-3003.763823855664	297	43000
42	578.270366191864	1000	44000	-9.40610293086873	-3005.345060295153	298	44000
43	591.6512951850891	1000	45000	-9.40610293086873	-3003.667344358661	299	45000
44	605.0417740345001	1000	46000	-9.40610293086873	-3004.52355098345	300	46000
45	618.4514172077179	1000	47000	-9.40610293086873	-3003.530028720551	301	47000
46	631.8326740264893	1000	48000	-9.40610293086873	-3004.514361895095	302	48000
47	645.2143521308899	1000	49000	-9.40610293086873	-3005.2520691585673	303	49000
48	658.5953042507172	1000	50000	-9.40610293086873	-3005.0740220809685	304	50000
49	671.9741790294647	1000	51000	-9.40610293086873	-3006.132074352097	305	51000
50	685.3867602348328	1000	52000	-9.40610293086873	-3002.094848211971	306	52000
51	698.7479243278503	1000	53000	-9.40610293086873	-3003.0446993873124	307	53000
52	712.1250512599945	1000	54000	-9.40610293086873	-3002.7431699863264	308	54000
53	725.5016660690308	1000	55000	-9.40610293086873	-3003.965845953356	309	55000
54	738.8848261833191	1000	56000	-9.40610293086873	-3005.3334598831107	310	56000
55	752.2757141590118	1000	57000	-9.40610293086873	-3003.9684997774443	311	57000
56	765.648585319519	1000	58000	-9.40610293086873	-3004.153934523405	312	58000
57	779.0266492366791	1000	59000	-9.40610293086873	-3003.799655037682	313	59000
58	792.3927772045135	1000	60000	-9.40610293086873	-3004.5692401528486	314	60000
59	805.7814311981201	1000	61000	-9.40610293086873	-3001.7985689402863	315	61000
60	819.1618051528931	1000	62000	-9.40610293086873	-3002.8399762027034	316	62000
61	832.5309331417084	1000	63000	-9.40610293086873	-3002.9240450832654	317	63000
62	845.9110641479492	1000	64000	-9.40610293086873	-3005.0424676139883	318	64000
63	859.299919128418	1000	65000	-9.40610293086873	-3002.051202680868	319	65000
64	872.6961252689362	1000	66000	-9.40610293086873	-3001.908931648791	320	66000
65	886.0868673324585	1000	67000	-9.40610293086873	-3003.1914993041178	321	67000
66	899.4795472621918	1000	68000	-9.40610293086873	-3002.7305454480147	322	68000
67	912.8814382553101	1000	69000	-9.40610293086873	-3006.026889576778	323	69000
68	926.2671492099762	1000	70000	-9.40610293086873	-3002.031950291031	324	70000
69	939.6533071994781	1000	71000	-9.40610293086873	-3004.204203278446	325	71000
70	953.0817070007324	1000	72000	-9.40610293086873	-3004.939912632924	326	72000
71	966.4938340187073	1000	73000	-9.40610293086873	-3002.2805936477307	327	73000
72	979.9051141738892	1000	74000	-9.40610293086873	-3003.009087768331	328	74000
73	993.3042151927948	1000	75000	-9.40610293086873	-3002.5714941785627	329	75000
74	1006.6834502220154	1000	76000	-9.40610293086873	-3003.856575786234	330	76000
75	1020.0687742233276	1000	77000	-9.40610293086873	-3005.284584424273	331	77000
76	1033.4978013038635	1000	78000	-9.40610293086873	-3003.0878924258573	332	78000
77	1046.9004821777344	1000	79000	-9.40610293086873	-3004.8776574209924	333	79000
78	1060.3425483703613	1000	80000	-9.40610293086873	-3004.051154421628	334	80000
79	1073.7551963329315	1000	81000	-9.40610293086873	-3005.696781630919	335	81000
