Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	13.407860040664673	1000	2000	-312.5147886299529	-662.7699366568156	2	2000
1	25.883410930633545	1000	3000	-312.5147886299529	-720.2254234987888	3	3000
2	38.38582515716553	1000	4000	-312.5147886299529	-692.1916189014515	4	4000
3	51.083658933639526	1000	5000	-312.5147886299529	-699.4800220314345	5	5000
4	63.79773283004761	1000	6000	-312.5147886299529	-654.2286340683771	6	6000
5	76.38986396789551	1000	7000	-312.5147886299529	-711.3923014134702	7	7000
6	88.87678289413452	1000	8000	-312.5147886299529	-550.6474788927419	8	8000
7	101.3641848564148	1000	9000	-312.5147886299529	-547.8887448857733	9	9000
8	113.8643069267273	1000	10000	-312.5147886299529	-504.63258709441027	10	10000
9	126.37023901939392	1000	11000	-312.5147886299529	-519.8181949494101	11	11000
10	138.87803983688354	1000	12000	-312.5147886299529	-484.3930221302436	12	12000
11	151.36963486671448	1000	13000	-312.5147886299529	-700.0193536772842	13	13000
12	163.86641383171082	1000	14000	-312.5147886299529	-578.1225696431087	14	14000
13	176.38543486595154	1000	15000	-312.5147886299529	-625.1193663202074	15	15000
14	188.91492676734924	1000	16000	-312.5147886299529	-578.4555298054577	16	16000
15	201.42553400993347	1000	17000	-312.5147886299529	-508.9302192986907	17	17000
16	213.92131996154785	1000	18000	-312.5147886299529	-520.5068039038961	18	18000
17	226.4431450366974	1000	19000	-312.5147886299529	-512.0486401512252	19	19000
18	238.95704102516174	1000	20000	-312.5147886299529	-513.0264235079283	20	20000
19	251.47342014312744	1000	21000	-312.5147886299529	-497.6381334744744	21	21000
20	264.0065407752991	1000	22000	-312.5147886299529	-507.14640524910806	22	22000
21	276.54061698913574	1000	23000	-312.5147886299529	-495.7905817242798	23	23000
22	289.07275199890137	1000	24000	-312.5147886299529	-492.9252135748913	24	24000
23	301.6024708747864	1000	25000	-312.5147886299529	-486.49639319118296	25	25000
24	314.15107893943787	1000	26000	-312.5147886299529	-515.5728170474639	26	26000
25	326.6720337867737	1000	27000	-312.5147886299529	-524.6693755407913	27	27000
26	339.18854570388794	1000	28000	-312.5147886299529	-540.6322964397153	28	28000
27	351.7276859283447	1000	29000	-312.5147886299529	-521.3428864645482	29	29000
