Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	13.425072193145752	1000	2000	-312.5147886299529	-582.2818122075344	2	2000
1	25.87294316291809	1000	3000	-312.5147886299529	-639.4596721605832	3	3000
2	38.24079990386963	1000	4000	-312.5147886299529	-582.3799226204799	4	4000
3	50.5721800327301	1000	5000	-312.5147886299529	-460.61646780701966	5	5000
4	62.871697187423706	1000	6000	-312.5147886299529	-586.2377945408697	6	6000
5	75.17784214019775	1000	7000	-312.5147886299529	-739.7415550029042	7	7000
6	87.48530101776123	1000	8000	-312.5147886299529	-471.2890307192823	8	8000
7	99.78584790229797	1000	9000	-312.5147886299529	-701.8090542100072	9	9000
8	112.16372609138489	1000	10000	-312.5147886299529	-556.337707794876	10	10000
9	124.46544003486633	1000	11000	-312.5147886299529	-510.99539501388665	11	11000
10	136.82390904426575	1000	12000	-312.5147886299529	-500.4021676205897	12	12000
11	149.14361906051636	1000	13000	-312.5147886299529	-626.3064689871777	13	13000
12	161.4453501701355	1000	14000	-312.5147886299529	-740.0185631832992	14	14000
13	173.73477387428284	1000	15000	-312.5147886299529	-865.19730998842	15	15000
14	186.02808213233948	1000	16000	-312.5147886299529	-1054.4691042115542	16	16000
15	198.332750082016	1000	17000	-312.5147886299529	-842.5995042325493	17	17000
16	210.6358618736267	1000	18000	-312.5147886299529	-818.311724894125	18	18000
17	222.94445204734802	1000	19000	-312.5147886299529	-602.8615561263495	19	19000
18	235.24753308296204	1000	20000	-312.5147886299529	-384.93388347871934	20	20000
19	247.552983045578	1000	21000	-312.5147886299529	-554.531720519321	21	21000
20	259.88621520996094	1000	22000	-312.5147886299529	-597.1327401997224	22	22000
21	272.19584107398987	1000	23000	-312.5147886299529	-596.5639957987295	23	23000
22	284.51452112197876	1000	24000	-312.5147886299529	-596.9367463412766	24	24000
23	296.8278031349182	1000	25000	-312.5147886299529	-596.9129759674927	25	25000
24	309.14844703674316	1000	26000	-312.5147886299529	-595.6808356278569	26	26000
25	321.46801495552063	1000	27000	-312.5147886299529	-595.6274899386758	27	27000
26	333.7938799858093	1000	28000	-312.5147886299529	-595.2989164560171	28	28000
27	346.1158518791199	1000	29000	-312.5147886299529	-596.5786061928129	29	29000
28	358.43612599372864	1000	30000	-312.5147886299529	-595.0424430290476	30	30000
29	370.75470781326294	1000	31000	-312.5147886299529	-596.576079143811	31	31000
30	383.0806739330292	1000	32000	-312.5147886299529	-595.3077082866279	32	32000
31	395.40589690208435	1000	33000	-312.5147886299529	-595.7254122229607	33	33000
32	407.73886609077454	1000	34000	-312.5147886299529	-598.2375771220874	34	34000
33	420.3813419342041	1000	35000	-312.5147886299529	-595.390941829007	35	35000
34	433.16297602653503	1000	36000	-312.5147886299529	-595.6737520153541	36	36000
35	445.82542991638184	1000	37000	-312.5147886299529	-596.1575179132832	37	37000
36	458.43495297431946	1000	38000	-312.5147886299529	-595.3650989815549	38	38000
37	471.07319021224976	1000	39000	-312.5147886299529	-596.3570571101601	39	39000
38	483.56793117523193	1000	40000	-312.5147886299529	-599.3688061535178	40	40000
39	496.06697607040405	1000	41000	-312.5147886299529	-593.9913518975422	41	41000
40	508.525593996048	1000	42000	-312.5147886299529	-594.9515943479942	42	42000
41	521.0133371353149	1000	43000	-312.5147886299529	-597.3710763488949	43	43000
42	533.3707928657532	1000	44000	-312.5147886299529	-626.9531035385936	44	44000
43	545.7104160785675	1000	45000	-312.5147886299529	-596.1390502237774	45	45000
44	558.1574599742889	1000	46000	-312.5147886299529	-598.0384691523932	46	46000
45	570.6792130470276	1000	47000	-312.5147886299529	-613.7145364777241	47	47000
46	583.1280071735382	1000	48000	-312.5147886299529	-595.5706806545044	48	48000
47	595.6312170028687	1000	49000	-312.5147886299529	-613.8495824652362	49	49000
48	608.1112220287323	1000	50000	-312.5147886299529	-593.3362941529107	50	50000
49	620.5995991230011	1000	51000	-312.5147886299529	-597.183741086465	51	51000
50	633.0886540412903	1000	52000	-312.5147886299529	-598.371163145297	52	52000
51	645.6804020404816	1000	53000	-312.5147886299529	-597.0188532177804	53	53000
52	658.0862760543823	1000	54000	-312.5147886299529	-637.3948944926124	54	54000
53	670.6131179332733	1000	55000	-312.5147886299529	-589.7879260190343	55	55000
54	683.1222791671753	1000	56000	-312.5147886299529	-545.407093650607	56	56000
55	695.6200859546661	1000	57000	-312.5147886299529	-518.2313261980441	57	57000
56	708.0639560222626	1000	58000	-312.5147886299529	-566.4194705192169	58	58000
57	720.628576040268	1000	59000	-312.5147886299529	-493.4011580272611	59	59000
58	733.1602990627289	1000	60000	-312.5147886299529	-529.5346125092809	60	60000
59	745.7270410060883	1000	61000	-312.5147886299529	-561.0313883865887	61	61000
60	758.520968914032	1000	62000	-312.5147886299529	-527.8137537413072	62	62000
61	771.7449839115143	1000	63000	-312.5147886299529	-1541.8548787271272	63	63000
62	784.7695889472961	1000	64000	-312.5147886299529	-1432.365381292913	64	64000
63	797.5064799785614	1000	65000	-312.5147886299529	-757.5344829569231	65	65000
64	810.0637600421906	1000	66000	-312.5147886299529	-744.2123313594632	66	66000
65	822.5801289081573	1000	67000	-312.5147886299529	-826.0567341927	67	67000
66	835.255560874939	1000	68000	-312.5147886299529	-620.462214009577	68	68000
67	847.999260187149	1000	69000	-312.5147886299529	-1537.2041512378737	69	69000
68	860.6622729301453	1000	70000	-312.5147886299529	-917.3332155251596	70	70000
69	873.2628259658813	1000	71000	-312.5147886299529	-759.0369564603437	71	71000
70	885.817507982254	1000	72000	-312.5147886299529	-474.7088065542452	72	72000
71	898.371435880661	1000	73000	-312.5147886299529	-726.7330635399194	73	73000
72	911.0338060855865	1000	74000	-312.5147886299529	-721.018190983784	74	74000
73	923.6342339515686	1000	75000	-312.5147886299529	-813.1390764489951	75	75000
74	936.2734200954437	1000	76000	-312.5147886299529	-663.2007625464877	76	76000
75	948.8809590339661	1000	77000	-312.5147886299529	-499.7959332035052	77	77000
76	961.4471120834351	1000	78000	-312.5147886299529	-655.2165550574597	78	78000
77	973.9608781337738	1000	79000	-312.5147886299529	-709.9110511641279	79	79000
78	986.4480900764465	1000	80000	-312.5147886299529	-656.4654991173223	80	80000
79	999.0336630344391	1000	81000	-312.5147886299529	-687.7489092000732	81	81000
80	1011.5715801715851	1000	82000	-312.5147886299529	-729.8717424291535	82	82000
